Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Success_Category,Critic_Category,User_Category,NA_Ratio,EU_Ratio,JP_Ratio,Cluster
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,4.3,Blockbuster,Excellent,Poor,0.12055641421947451,0.6553323029366307,0.01081916537867079,1
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,5.7,Blockbuster,Good,Average,0.13157894736842105,0.712171052631579,0.008223684210526315,1
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,9.1,Blockbuster,Excellent,Excellent,0.4105621805792164,0.37137989778534924,0.04770017035775128,3
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,6.1,Blockbuster,Good,Average,0.4414893617021277,0.3670212765957447,0.028368794326241138,3
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,7.9,Blockbuster,Excellent,Good,0.5127737226277372,0.39963503649635035,0.0,3
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,7.9,Blockbuster,Excellent,Good,0.34386617100371747,0.4646840148698885,0.03531598513011153,3
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,5.4,Blockbuster,Good,Average,0.6110056925996206,0.29411764705882354,0.0018975332068311198,3
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,8.1,Hit,Excellent,Good,0.44805194805194803,0.3701298701298701,0.017316017316017316,3
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,8.4,Hit,Excellent,Good,0.39215686274509803,0.3028322440087146,0.24183006535947715,3
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,6.4,Hit,Good,Average,0.6205357142857142,0.28348214285714285,0.00669642857142857,3
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,3.4,Hit,Good,Poor,0.36098654708520184,0.4484304932735426,0.033632286995515695,3
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,8.5,Hit,Good,Good,0.34762979683972917,0.26636568848758463,0.32957110609480816,3
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,9.0,Hit,Excellent,Excellent,0.4884259259259259,0.2685185185185185,0.16898148148148145,3
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,6.2,Hit,Excellent,Average,0.5947867298578199,0.3127962085308057,0.002369668246445498,3
FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,4.2,Hit,Good,Poor,0.2180094786729858,0.6848341232227488,0.002369668246445498,1
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,8.4,Hit,Excellent,Good,0.26960784313725494,0.5269607843137255,0.051470588235294115,3
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,6.3,Hit,Good,Average,0.345679012345679,0.4691358024691358,0.027160493827160494,3
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,7.7,Hit,Good,Good,0.2797029702970297,0.5396039603960396,0.024752475247524754,3
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,9.2,Hit,Excellent,Excellent,0.25692695214105793,0.5365239294710327,0.05793450881612091,3
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,4.9,Hit,Average,Poor,0.3005050505050505,0.5227272727272727,0.020202020202020204,3
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,7.6,Hit,Excellent,Good,0.38734177215189874,0.42784810126582273,0.02531645569620253,3
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,8.7,Hit,Excellent,Excellent,0.17480719794344474,0.12339331619537275,0.6735218508997429,0
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,6.7,Hit,Excellent,Average,0.6417525773195877,0.17010309278350516,0.007731958762886598,3
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78.0,3.7,Hit,Good,Poor,0.46475195822454307,0.3733681462140992,0.013054830287206267,3
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80.0,7.0,Hit,Good,Average,0.3552631578947369,0.4473684210526316,0.039473684210526314,3
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,8.1,Hit,Excellent,Good,0.3584905660377359,0.4528301886792453,0.03504043126684636,3
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,6.9,Hit,Good,Average,0.3760445682451254,0.4317548746518106,0.04735376044568246,3
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,4.1,Hit,Average,Poor,0.6485714285714286,0.2571428571428572,0.0,3
Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,80.0,5.8,Hit,Good,Average,0.37249283667621774,0.4068767908309455,0.07736389684813753,3
Battlefield 4,X360,2013,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,79.0,5.6,Hit,Good,Average,0.617816091954023,0.29022988505747127,0.005747126436781609,3
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,8.2,Hit,Excellent,Good,0.3196480938416422,0.3988269794721408,0.14369501466275658,3
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,6.8,Hit,Good,Average,0.23893805309734514,0.5870206489675516,0.02064896755162242,3
Destiny,XOne,2014,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,5.5,Hit,Average,Average,0.6350148367952523,0.27299703264094954,0.0,3
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86.0,7.9,Hit,Excellent,Good,0.5757575757575758,0.3363636363636364,0.0030303030303030307,3
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,7.5,Hit,Good,Good,0.7957317073170732,0.10060975609756098,0.0,3
FIFA 16,XOne,2015,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,4.4,Hit,Good,Poor,0.27384615384615385,0.6523076923076924,0.0,1
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,5.9,Hit,Good,Average,0.7222222222222221,0.09259259259259259,0.0,3
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.72,1.67,0.4,0.44,3.23,81.0,7.7,Hit,Good,Good,0.22291021671826625,0.5170278637770898,0.12383900928792571,3
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.91,1.0,0.03,0.29,3.23,85.0,7.2,Hit,Good,Good,0.5913312693498451,0.30959752321981426,0.009287925696594427,3
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,8.7,Hit,Excellent,Excellent,0.367601246105919,0.2772585669781932,0.29283489096573206,3
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23,3.1,91.0,8.9,Hit,Excellent,Excellent,0.4516129032258064,0.3258064516129032,0.14838709677419354,3
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,6.9,Hit,Average,Average,0.16721311475409836,0.3344262295081967,0.45901639344262296,0
The Sims 4,PC,2014,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05,70.0,3.9,Hit,Average,Poor,0.3278688524590164,0.5967213114754099,0.0,2
FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87.0,6.3,Hit,Excellent,Average,0.20265780730897012,0.6146179401993356,0.036544850498338874,1
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84.0,8.1,Hit,Good,Good,0.34121621621621623,0.4831081081081081,0.016891891891891893,3
Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,86.0,6.4,Hit,Excellent,Average,0.623728813559322,0.2711864406779661,0.013559322033898305,3
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0.0,0.27,2.92,78.0,4.3,Hit,Good,Poor,0.6438356164383562,0.2636986301369863,0.0,3
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83.0,7.8,Hit,Good,Good,0.37543859649122807,0.45964912280701753,0.021052631578947368,3
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80.0,7.9,Hit,Good,Good,0.45878136200716846,0.35125448028673834,0.025089605734767026,3
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,83.0,7.7,Hit,Good,Good,0.5395683453237411,0.2877697841726619,0.0,3
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.08,0.39,2.69,73.0,6.8,Hit,Average,Average,0.3308550185873606,0.4944237918215614,0.029739776951672865,3
FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,5.5,Hit,Good,Average,0.16226415094339622,0.7735849056603773,0.0,1
NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.19,0.0,0.23,2.52,87.0,4.9,Hit,Excellent,Poor,0.8333333333333334,0.07539682539682539,0.0,3
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,8.6,Hit,Excellent,Excellent,0.4153225806451613,0.3266129032258065,0.10483870967741936,3
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,7.0,Hit,Good,Average,0.6,0.22040816326530613,0.004081632653061224,3
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,78.0,3.1,Hit,Good,Poor,0.6033057851239669,0.30578512396694213,0.0,2
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,6.1,Hit,Good,Average,0.859504132231405,0.03305785123966942,0.0,3
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,9.0,Hit,Excellent,Excellent,0.49145299145299143,0.23504273504273507,0.20085470085470086,3
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,6.2,Hit,Excellent,Average,0.8333333333333334,0.06410256410256411,0.0,3
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,7.7,Hit,Good,Good,0.46724890829694327,0.3493449781659389,0.017467248908296942,3
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,6.3,Hit,Good,Average,0.26548672566371684,0.5530973451327434,0.026548672566371685,3
Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25,87.0,8.2,Hit,Excellent,Good,0.5688888888888889,0.3422222222222222,0.0,3
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,7.5,Hit,Good,Good,0.5466666666666666,0.28,0.017777777777777778,3
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,7.9,Hit,Good,Good,0.5580357142857142,0.27678571428571425,0.08035714285714285,3
Madden NFL 25,X360,2013,Sports,Electronic Arts,1.98,0.06,0.0,0.19,2.23,80.0,5.6,Hit,Good,Average,0.8878923766816144,0.026905829596412554,0.0,3
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.79,0.0,0.19,2.22,80.0,7.6,Hit,Good,Good,0.5585585585585585,0.35585585585585583,0.0,3
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,7.3,Hit,Average,Good,0.24886877828054302,0.5384615384615384,0.06334841628959277,3
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79.0,5.9,Hit,Good,Average,0.5499999999999999,0.35909090909090907,0.004545454545454545,3
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0.0,0.4,2.19,81.0,6.1,Hit,Good,Average,0.7031963470319635,0.11415525114155252,0.0,3
FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,5.4,Hit,Good,Average,0.2752293577981651,0.6513761467889907,0.0,1
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.29,0.68,0.0,0.2,2.16,80.0,6.9,Hit,Good,Average,0.5972222222222222,0.3148148148148148,0.0,3
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,6.1,Hit,Excellent,Average,0.37850467289719625,0.397196261682243,0.07009345794392523,3
NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,4.9,Hit,Good,Poor,0.6824644549763034,0.14691943127962087,0.018957345971563982,3
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73.0,5.0,Hit,Average,Poor,0.33809523809523806,0.4476190476190476,0.06666666666666667,3
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,7.9,Hit,Average,Good,0.45933014354066987,0.3205741626794259,0.05741626794258373,3
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,6.1,Hit,Average,Average,0.17391304347826086,0.6666666666666666,0.009661835748792272,1
Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.19,2.02,81.0,6.6,Hit,Good,Average,0.6188118811881188,0.2871287128712871,0.0,3
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,7.4,Hit,Excellent,Good,0.36318407960199006,0.4378109452736319,0.03980099502487563,3
Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80.0,6.2,Moderate,Good,Average,0.3686868686868687,0.4646464646464647,0.015151515151515152,3
BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.22,0.54,0.02,0.16,1.93,93.0,8.5,Moderate,Excellent,Good,0.6321243523316062,0.2797927461139897,0.010362694300518135,3
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86.0,6.0,Moderate,Excellent,Average,0.4041450777202073,0.40932642487046633,0.02072538860103627,3
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.62,0.64,0.55,0.11,1.92,57.0,6.3,Moderate,Poor,Average,0.3229166666666667,0.33333333333333337,0.28645833333333337,2
Diablo III,PS3,2013,Role-Playing,Activision,0.72,0.75,0.15,0.29,1.91,86.0,6.4,Moderate,Excellent,Average,0.3769633507853403,0.39267015706806285,0.07853403141361257,3
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91,79.0,7.1,Moderate,Good,Good,0.3455497382198953,0.486910994764398,0.005235602094240838,3
Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.0,0.17,1.88,74.0,7.5,Moderate,Average,Good,0.6117021276595744,0.29787234042553196,0.0,3
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88.0,6.7,Moderate,Excellent,Average,0.6648936170212766,0.14361702127659576,0.010638297872340427,3
Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,4.1,Moderate,Good,Poor,0.8556149732620321,0.0160427807486631,0.0,3
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73.0,6.5,Moderate,Average,Average,0.25268817204301075,0.553763440860215,0.03763440860215054,1
LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82.0,7.9,Moderate,Good,Good,0.4184782608695652,0.41304347826086957,0.005434782608695652,3
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80.0,8.8,Moderate,Good,Excellent,0.3333333333333333,0.18579234972677597,0.43169398907103823,0
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.0,5.1,Moderate,Average,Average,0.23204419889502761,0.5966850828729282,0.016574585635359115,1
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,7.9,Moderate,Excellent,Good,0.40555555555555556,0.5,0.016666666666666666,3
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.0,7.3,Moderate,Average,Good,0.30726256983240224,0.48044692737430167,0.061452513966480445,3
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,4.9,Moderate,Good,Poor,0.7142857142857143,0.09714285714285716,0.0,3
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65.0,6.8,Moderate,Average,Average,0.17142857142857143,0.32,0.48,0
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,6.6,Moderate,Average,Average,0.3505747126436782,0.4482758620689655,0.034482758620689655,3
Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54.0,6.5,Moderate,Poor,Average,0.24855491329479767,0.3930635838150289,0.24277456647398843,2
The Crew,PS4,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,5.4,Moderate,Average,Average,0.20348837209302326,0.627906976744186,0.01744186046511628,1
NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,6.3,Moderate,Good,Average,0.7965116279069768,0.10465116279069767,0.0,3
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,4.5,Moderate,Average,Poor,0.37058823529411766,0.4470588235294118,0.01764705882352941,2
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,8.5,Moderate,Excellent,Good,0.4260355029585799,0.38461538461538464,0.02366863905325444,3
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.83,0.66,0.0,0.18,1.67,86.0,7.9,Moderate,Excellent,Good,0.49700598802395207,0.3952095808383234,0.0,3
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,8.2,Moderate,Good,Good,0.27108433734939763,0.5421686746987953,0.030120481927710847,3
Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.5,0.01,0.13,1.66,81.0,6.5,Moderate,Good,Average,0.608433734939759,0.30120481927710846,0.006024096385542169,3
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,8.8,Moderate,Excellent,Excellent,0.393939393939394,0.27272727272727276,0.20606060606060608,3
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,7.5,Moderate,Good,Good,0.49079754601227,0.4233128834355828,0.006134969325153374,3
Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70.0,8.1,Moderate,Average,Good,0.3190184049079755,0.49079754601227,0.03680981595092025,3
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83.0,7.7,Moderate,Good,Good,0.3641975308641975,0.4691358024691358,0.006172839506172839,3
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66.0,6.5,Moderate,Average,Average,0.4367088607594936,0.33544303797468356,0.15189873417721517,3
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.0,6.8,Moderate,Good,Average,0.6751592356687898,0.22292993630573246,0.006369426751592356,3
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,1.57,79.0,5.4,Moderate,Good,Average,0.5859872611464968,0.3184713375796178,0.01910828025477707,3
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57,78.0,5.8,Moderate,Good,Average,0.5732484076433121,0.3375796178343949,0.0,3
Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,80.0,6.4,Moderate,Good,Average,0.8343949044585988,0.057324840764331204,0.0,3
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79.0,8.1,Moderate,Good,Good,0.3032258064516129,0.5161290322580645,0.019354838709677417,3
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83.0,8.9,Moderate,Good,Excellent,0.4605263157894737,0.3618421052631579,0.10526315789473684,3
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,6.6,Moderate,Good,Average,0.5906040268456376,0.31543624161073824,0.0,3
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85.0,6.5,Moderate,Good,Average,0.6137931034482759,0.21379310344827587,0.006896551724137932,3
Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.97,0.34,0.0,0.13,1.44,74.0,6.5,Moderate,Average,Average,0.6736111111111112,0.23611111111111113,0.0,3
SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,64.0,2.2,Moderate,Average,Poor,0.3380281690140845,0.5422535211267606,0.0,2
Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.0,7.9,Moderate,Good,Good,0.31690140845070425,0.2605633802816901,0.3098591549295775,3
Diablo III,X360,2013,Role-Playing,Activision,0.9,0.39,0.0,0.12,1.41,87.0,6.6,Moderate,Excellent,Average,0.6382978723404256,0.2765957446808511,0.0,3
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,8.2,Moderate,Excellent,Good,0.35714285714285715,0.5571428571428572,0.0071428571428571435,3
Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0.0,0.11,1.38,81.0,7.9,Moderate,Good,Good,0.7028985507246377,0.2173913043478261,0.0,3
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64.0,6.1,Moderate,Average,Average,0.34782608695652173,0.3840579710144928,0.20289855072463772,3
Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0.0,0.13,1.38,60.0,6.1,Moderate,Poor,Average,0.6014492753623188,0.3115942028985507,0.0,2
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,7.3,Moderate,Excellent,Good,0.746376811594203,0.15217391304347827,0.0,3
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,8.0,Moderate,Excellent,Good,0.3985507246376812,0.5072463768115942,0.014492753623188408,3
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,5.9,Moderate,Good,Average,0.6397058823529411,0.25,0.014705882352941176,3
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,8.0,Moderate,Excellent,Good,0.5407407407407407,0.37037037037037035,0.007407407407407407,3
Battlefield 4,PC,2013,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,6.0,Moderate,Good,Average,0.28888888888888886,0.6444444444444444,0.0,1
