Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Cluster,Cluster_Label
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,4.9,0,Massive / Blockbuster
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,7.6,0,Massive / Blockbuster
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,8.7,2,High Sales / Hit
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,6.7,0,Massive / Blockbuster
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78.0,3.7,0,Massive / Blockbuster
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80.0,7.0,0,Massive / Blockbuster
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,8.1,0,Massive / Blockbuster
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,6.9,0,Massive / Blockbuster
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,4.1,3,Moderate / Mid-Tier
Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,80.0,5.8,0,Massive / Blockbuster
Battlefield 4,X360,2013,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,79.0,5.6,3,Moderate / Mid-Tier
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,8.2,2,High Sales / Hit
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,6.8,0,Massive / Blockbuster
Destiny,XOne,2014,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,5.5,3,Moderate / Mid-Tier
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86.0,7.9,3,Moderate / Mid-Tier
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,7.5,3,Moderate / Mid-Tier
FIFA 16,XOne,2015,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,4.4,3,Moderate / Mid-Tier
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,5.9,3,Moderate / Mid-Tier
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.72,1.67,0.4,0.44,3.23,81.0,7.7,2,High Sales / Hit
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.91,1.0,0.03,0.29,3.23,85.0,7.2,3,Moderate / Mid-Tier
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,8.7,2,High Sales / Hit
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1.01,0.46,0.23,3.1,91.0,8.9,2,High Sales / Hit
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,6.9,2,High Sales / Hit
The Sims 4,PC,2014,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05,70.0,3.9,3,Moderate / Mid-Tier
FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87.0,6.3,3,Moderate / Mid-Tier
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84.0,8.1,3,Moderate / Mid-Tier
Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,86.0,6.4,3,Moderate / Mid-Tier
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0.0,0.27,2.92,78.0,4.3,3,Moderate / Mid-Tier
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83.0,7.8,3,Moderate / Mid-Tier
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80.0,7.9,3,Moderate / Mid-Tier
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,83.0,7.7,3,Moderate / Mid-Tier
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.08,0.39,2.69,73.0,6.8,3,Moderate / Mid-Tier
FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,5.5,3,Moderate / Mid-Tier
NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.19,0.0,0.23,2.52,87.0,4.9,3,Moderate / Mid-Tier
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,8.6,3,Moderate / Mid-Tier
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,7.0,3,Moderate / Mid-Tier
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,78.0,3.1,3,Moderate / Mid-Tier
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,6.1,3,Moderate / Mid-Tier
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,9.0,2,High Sales / Hit
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,6.2,3,Moderate / Mid-Tier
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,7.7,3,Moderate / Mid-Tier
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,6.3,3,Moderate / Mid-Tier
Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25,87.0,8.2,3,Moderate / Mid-Tier
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,7.5,3,Moderate / Mid-Tier
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,7.9,3,Moderate / Mid-Tier
Madden NFL 25,X360,2013,Sports,Electronic Arts,1.98,0.06,0.0,0.19,2.23,80.0,5.6,3,Moderate / Mid-Tier
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.79,0.0,0.19,2.22,80.0,7.6,3,Moderate / Mid-Tier
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,7.3,3,Moderate / Mid-Tier
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79.0,5.9,3,Moderate / Mid-Tier
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0.0,0.4,2.19,81.0,6.1,3,Moderate / Mid-Tier
FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,5.4,3,Moderate / Mid-Tier
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.29,0.68,0.0,0.2,2.16,80.0,6.9,3,Moderate / Mid-Tier
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,6.1,3,Moderate / Mid-Tier
NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,4.9,3,Moderate / Mid-Tier
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73.0,5.0,3,Moderate / Mid-Tier
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,7.9,3,Moderate / Mid-Tier
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,6.1,3,Moderate / Mid-Tier
Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.19,2.02,81.0,6.6,3,Moderate / Mid-Tier
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,7.4,3,Moderate / Mid-Tier
Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80.0,6.2,3,Moderate / Mid-Tier
BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.22,0.54,0.02,0.16,1.93,93.0,8.5,3,Moderate / Mid-Tier
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86.0,6.0,3,Moderate / Mid-Tier
Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.62,0.64,0.55,0.11,1.92,57.0,6.3,2,High Sales / Hit
Diablo III,PS3,2013,Role-Playing,Activision,0.72,0.75,0.15,0.29,1.91,86.0,6.4,3,Moderate / Mid-Tier
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91,79.0,7.1,3,Moderate / Mid-Tier
Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.0,0.17,1.88,74.0,7.5,3,Moderate / Mid-Tier
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88.0,6.7,3,Moderate / Mid-Tier
Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,4.1,3,Moderate / Mid-Tier
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73.0,6.5,3,Moderate / Mid-Tier
LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82.0,7.9,3,Moderate / Mid-Tier
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80.0,8.8,2,High Sales / Hit
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.0,5.1,3,Moderate / Mid-Tier
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,7.9,3,Moderate / Mid-Tier
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.0,7.3,3,Moderate / Mid-Tier
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,4.9,3,Moderate / Mid-Tier
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65.0,6.8,2,High Sales / Hit
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,6.6,3,Moderate / Mid-Tier
Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54.0,6.5,2,High Sales / Hit
The Crew,PS4,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,5.4,3,Moderate / Mid-Tier
NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,6.3,3,Moderate / Mid-Tier
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,4.5,3,Moderate / Mid-Tier
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28,1.69,94.0,8.5,3,Moderate / Mid-Tier
StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.83,0.66,0.0,0.18,1.67,86.0,7.9,3,Moderate / Mid-Tier
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,8.2,3,Moderate / Mid-Tier
Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.5,0.01,0.13,1.66,81.0,6.5,3,Moderate / Mid-Tier
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,8.8,2,High Sales / Hit
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,7.5,3,Moderate / Mid-Tier
Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70.0,8.1,3,Moderate / Mid-Tier
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83.0,7.7,3,Moderate / Mid-Tier
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66.0,6.5,3,Moderate / Mid-Tier
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.0,6.8,3,Moderate / Mid-Tier
Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.5,0.03,0.12,1.57,79.0,5.4,3,Moderate / Mid-Tier
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57,78.0,5.8,3,Moderate / Mid-Tier
Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,80.0,6.4,3,Moderate / Mid-Tier
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79.0,8.1,3,Moderate / Mid-Tier
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83.0,8.9,3,Moderate / Mid-Tier
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,6.6,3,Moderate / Mid-Tier
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85.0,6.5,3,Moderate / Mid-Tier
Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.97,0.34,0.0,0.13,1.44,74.0,6.5,3,Moderate / Mid-Tier
SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,64.0,2.2,3,Moderate / Mid-Tier
Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.0,7.9,2,High Sales / Hit
Diablo III,X360,2013,Role-Playing,Activision,0.9,0.39,0.0,0.12,1.41,87.0,6.6,3,Moderate / Mid-Tier
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,8.2,3,Moderate / Mid-Tier
Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0.0,0.11,1.38,81.0,7.9,3,Moderate / Mid-Tier
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64.0,6.1,3,Moderate / Mid-Tier
Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0.0,0.13,1.38,60.0,6.1,3,Moderate / Mid-Tier
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,7.3,3,Moderate / Mid-Tier
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,8.0,3,Moderate / Mid-Tier
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,5.9,3,Moderate / Mid-Tier
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,8.0,3,Moderate / Mid-Tier
Battlefield 4,PC,2013,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,6.0,3,Moderate / Mid-Tier
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,6.2,3,Moderate / Mid-Tier
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,6.9,3,Moderate / Mid-Tier
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,5.7,3,Moderate / Mid-Tier
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,9.2,3,Moderate / Mid-Tier
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,8.5,3,Moderate / Mid-Tier
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,6.1,3,Moderate / Mid-Tier
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,7.8,3,Moderate / Mid-Tier
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,5.4,3,Moderate / Mid-Tier
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,7.5,3,Moderate / Mid-Tier
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,8.4,3,Moderate / Mid-Tier
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,7.2,3,Moderate / Mid-Tier
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,8.1,2,High Sales / Hit
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,6.2,3,Moderate / Mid-Tier
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85.0,8.5,2,High Sales / Hit
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,4.9,3,Moderate / Mid-Tier
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76.0,6.3,3,Moderate / Mid-Tier
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69.0,8.8,2,High Sales / Hit
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23,83.0,5.9,3,Moderate / Mid-Tier
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76.0,8.3,3,Moderate / Mid-Tier
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,7.4,3,Moderate / Mid-Tier
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,5.1,3,Moderate / Mid-Tier
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81.0,8.6,3,Moderate / Mid-Tier
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0.0,0.12,1.19,89.0,5.2,3,Moderate / Mid-Tier
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,0.2,1.18,78.0,7.9,3,Moderate / Mid-Tier
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,7.9,3,Moderate / Mid-Tier
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0.0,0.09,1.16,88.0,5.8,3,Moderate / Mid-Tier
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15,62.0,5.1,3,Moderate / Mid-Tier
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,7.5,3,Moderate / Mid-Tier
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14,81.0,7.7,3,Moderate / Mid-Tier
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.0,8.2,3,Moderate / Mid-Tier
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,7.8,3,Moderate / Mid-Tier
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,8.1,3,Moderate / Mid-Tier
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.0,7.6,3,Moderate / Mid-Tier
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87.0,8.7,3,Moderate / Mid-Tier
WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,7.7,3,Moderate / Mid-Tier
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69.0,7.7,3,Moderate / Mid-Tier
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80.0,8.2,3,Moderate / Mid-Tier
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09,77.0,5.8,3,Moderate / Mid-Tier
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,6.6,3,Moderate / Mid-Tier
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,7.4,3,Moderate / Mid-Tier
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,7.3,3,Moderate / Mid-Tier
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66.0,5.9,2,High Sales / Hit
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,91.0,5.6,3,Moderate / Mid-Tier
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70.0,6.1,3,Moderate / Mid-Tier
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86.0,8.4,3,Moderate / Mid-Tier
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02,90.0,6.2,3,Moderate / Mid-Tier
Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.42,0.0,0.17,1.02,83.0,5.3,3,Moderate / Mid-Tier
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01,72.0,7.3,3,Moderate / Mid-Tier
